Unit,Node,Pmax,Pmin,b,Co,cvnc,C_start,C_down,Ramp,Cond_I,Pot_Ini,EffiD,Gnode,TminO,TminF,T_ini_Op,T_ini_Fs,CCiclo,Bolsa,Combustible
KALLPATG1GAS,ChilcaRep220,186.57583,100,10.946833,137.561,2.0223,4619.1308,0,500,0,0,0.215869805,Chilca,8,5,168,0,CT-Kallpa-Cald1,B_Camisea,GN_Camisea
KALLPATG2GAS,ChilcaRep220,189.74534,100,11.417036,137.561,2.0223,4051.085,0,500,0,0,0.215055131,Chilca,8,5,168,0,CT-Kallpa-Cald2,B_Camisea,GN_Camisea
KALLPATG3GAS,ChilcaRep220,192.96816,100,11.352742,137.561,2.0223,3933.5873,0,500,0,0,0.211966508,Chilca,8,5,6,0,CT-Kallpa-Cald3,B_Camisea,GN_Camisea
KALLPACC1GAS,ChilcaRep220,279.82593,220,11.061488,137.561,2.0223,25038.0359,0,500,1,0,0.144822923,Chilca,23,23,6,0,CT-Kallpa-Cald1,B_Camisea,GN_Camisea
KALLPACC2GAS,ChilcaRep220,278.81851,220,5.625908,137.561,2.0223,23989.7666,0,500,1,0,0.168039604,Chilca,23,23,6,0,CT-Kallpa-Cald2,B_Camisea,GN_Camisea
KALLPACC3GAS,ChilcaRep220,284.68875,220,7.379608,137.561,2.0223,24221.0119,0,500,1,0,0.158694616,Chilca,23,23,6,0,CT-Kallpa-Cald3,B_Camisea,GN_Camisea
CHILCA1TG1GAS,ChilcaCTM220,172.013,10,11.14952,137.561,2.0223,2953.3961,0,500,0,0,0.198163645,Chilca,3,5,6,0,CT-Chilca-Cald1,B_Camisea,GN_Camisea
CHILCA1TG2GAS,ChilcaCTM220,172.39494,15,11.574665,137.561,2.0223,2217.7694,0,500,0,0,0.191416575,Chilca,3,5,6,0,CT-Chilca-Cald2,B_Camisea,GN_Camisea
CHILCA1TG3GAS,ChilcaCTM220,189.58427,15,12.4185,137.561,2.0223,3190.4381,0,500,0,0,0.207437695,Chilca,3,5,6,0,CT-Chilca-Cald3,B_Camisea,GN_Camisea
CHILCA1CC1GAS,ChilcaCTM220,251.80226,120,10.884783,137.561,2.0223,30711.6035,0,500,1,0,0.140980895,Chilca,3,0,6,0,CT-Chilca-Cald1,B_Camisea,GN_Camisea
CHILCA1CC2GAS,ChilcaCTM220,251.65508,230,4.421188,137.561,2.0223,30679.3233,0,500,1,0,0.161078111,Chilca,3,0,6,0,CT-Chilca-Cald2,B_Camisea,GN_Camisea
CHILCA1CC3GAS,ChilcaCTM220,282.0946,230,6.327474,137.561,2.0223,31089.4564,0,500,1,0,0.16580635,Chilca,3,0,6,0,CT-Chilca-Cald3,B_Camisea,GN_Camisea
AGETG1GAS,Aguaytia220,90.11444,60,7.1819,100.5378,3.9154,3873.578,0,500,0,0,0.254400005,NG_Aguaytia,23,23,6,0,CT-Aguayta-G,B_Aguaytia,GN_Aguaytia
AGETG2GAS,Aguaytia220,90.0453,60,7.9218,100.5378,3.6247,3805.6829,0,500,0,0,0.245400004,NG_Aguaytia,23,23,6,0,CT-Aguayta-G,B_Aguaytia,GN_Aguaytia
MAL2_TGN4GAS,Talara220,99.95098,25,6.655186,29.8381,1.9972,281.9097,0,500,0,0,0.189194383,0,23,8,6,0,0,0,GN_Talara
VENT3GAS,Ventanilla220,150.28932,90,9.596095,137.561,2.0223,3359.1827,0,500,0,0,0.206953601,Ventanilla,23,4,6,0,CT-Venta-Cald3,B_Camisea,GN_Camisea
VENT4GAS,Ventanilla220,150.88893,90,10.49921,137.561,2.0223,3015.6517,0,500,0,0,0.20334495,Ventanilla,23,4,6,0,CT-Venta-Cald4,B_Camisea,GN_Camisea
VENTCC3GAS,Ventanilla220,212.206,173,7.178647,137.561,2.0223,48584.8509,0,500,1,0,0.153083843,Ventanilla,23,4,6,0,CT-Venta-Cald3,B_Camisea,GN_Camisea
VENTCC4GAS,Ventanilla220,213.42,182,6.914432,137.561,2.0223,45103.38,0,500,1,0,0.156947901,Ventanilla,23,4,6,0,CT-Venta-Cald4,B_Camisea,GN_Camisea
RFILO2TG1D2,Moquegua220,167.69963,96,3.373147,2877.0587,4,4885.6582,0,500,0,0,0.05265624,0,2,5,6,0,0,0,D2
RFILO2TG2D2,Moquegua220,167.97136,96,3.404922,2877.0587,4,4725.3217,0,500,0,0,0.052641808,0,2,5,6,0,0,0,D2
RFILO2TG3D2,Moquegua220,166.22654,96,3.288014,2877.0587,4,4955.4365,0,500,0,0,0.05307049,0,2,5,6,0,0,0,D2
ILO2_CARB,Moquegua220,0,0,2.4064,175.9599,2.3921,624529.9953,0,500,0,0,0.338679459,0,6.63,0,6,0,0,0,C
INDEP_GAS,Independencia220,23.20388,4,0.833489,137.561,2.0223,91.7934,0,500,0,0,0.197598721,Pisco,1,0.6,6,0,0,B_Camisea,GN_Camisea
OLLEROS_TG1_GAS,Chilca500,192.76223,5,8.71502,137.561,2.0223,4962.228,0,500,0,0,0.237034989,Chilca,4,4.3333,6,0,CT-Olleros,B_Camisea,GN_Camisea
LFLORESTG1GAS,ChilcaCTM220,188.91108,100,10.996259,137.561,2.0223,3961.8523,0,500,0,0,0.213616073,Chilca,8,5,6,0,CT-Flores,B_Camisea,GN_Camisea
SN_TV1R500,Marcona220,17.64571,12,0.307187,3283.3829,1.32,8533.5839,0,500,0,0,0.078274889,0,8,8,6,0,0,0,R500
SN_TV2R500,Marcona220,19.25834,12,0.098573,3283.3829,1.32,16972.4117,0,500,0,0,0.084574371,0,8,8,6,0,0,0,R500
SN_TV3R500,Marcona220,24.2661,12,0.43001,3283.3829,1.32,8561.9526,0,500,0,0,0.072809269,0,8,8,6,0,0,0,R500
SH_CUMMINS,Marcona220,1.2136,0.375,0.023856,3911.8018,2.4543,2.2882,0,500,0,0,0.048590145,0,1,0.6,6,0,0,0,D2
CHIL_SLZ12-R500D2,Socabaya220,0,0,0.045115,2531.704,2.4543,2.9889,0,500,0,0,0.065305475,0,2,2,6,0,0,0,D2
MOLL123D2,Socabaya220,23.88963,7.5,0.164403,2561.4203,7.5357,426.1818,0,500,0,0,0.056905569,0,2,4,6,0,0,0,D2
FENIXGT12GAS,Chilca500,191.8858,120,10.355377,137.561,2.0223,4561.9252,0,500,0,0,0.208139826,Chilca,0,12,6,0,CT-Fenix-Cald12,B_Camisea,GN_Camisea
FENIXCCGT12GAS,Chilca500,287.68368,199,4.526521,137.561,2.0223,32272.4058,0,500,1,0,0.158686457,Chilca,0,23,6,0,CT-Fenix-Cald12,B_Camisea,GN_Camisea
FENIXGT11GAS,Chilca500,190.98275,120,11.181089,137.561,2.0223,3612.5471,0,500,0,0,0.205221875,Chilca,0,12,6,0,CT-Fenix-Cald11,B_Camisea,GN_Camisea
FENIXCCGT11GAS,Chilca500,287.58031,199,5.239913,137.561,2.0223,32629.8028,0,500,1,0,0.156684893,Chilca,0,23,6,0,CT-Fenix-Cald11,B_Camisea,GN_Camisea
OQUENDTG1_GAS,Ventanilla220,27.95523,1,1.991201,137.561,2.0223,149.1826,0,500,0,0,0.22030976,Ventanilla,2,1.25,6,0,0,B_Camisea,GN_Camisea
RECKATG1-D2,Chiclayo220,177.99943,55,3.702903,3452.7828,5.0215,476451.4459,0,500,0,0,0.054135921,0,2,5,6,0,0,0,D2
PTO_BRVOTG3-D2,SanJose500,180.24853,92,2.644739,2519.8674,1.9972,7652.3138,0,500,0,0,0.058508266,0,2,8,6,0,0,0,D2
PTO_BRVOTG1-D2,SanJose500,179.82902,92,2.586336,2519.8674,1.9972,6986.2248,0,500,0,0,0.059193433,0,2,8,6,0,0,0,D2
PTO_BRVOTG4-D2,SanJose500,183.62947,92,2.486375,2519.8674,1.9972,7574.0639,0,500,0,0,0.060268365,0,2,8,6,0,0,0,D2
PTO_BRVOTG2-D2,SanJose500,179.86928,92,2.525051,2519.8674,1.9972,8051.7579,0,500,0,0,0.060067161,0,2,8,6,0,0,0,D2
CTNEPITG43D2,Montalvo500,208.31928,120,4.834368,2629.0194,1.9972,17049.4208,0,500,0,0,0.046519175,0,2,5,6,0,0,0,D2
CTNEPITG42D2,Montalvo500,208.31693,120,4.289728,2629.0194,1.9972,17135.0718,0,500,0,0,0.049078651,0,2,5,6,0,0,0,D2
CTNEPITG41D2,Montalvo500,208.71223,120,4.326535,2629.0194,1.9972,19467.2544,0,500,0,0,0.049382727,0,2,5,6,0,0,0,D2
CHILCA2CCOMBTG41-GAS,ChilcaCTM220,114.04122,67.34,3.749922,137.561,2.0223,36681.2996,0,500,1,0,0.151285272,Chilca,23,0,6,0,CT-Chilca2,B_Camisea,GN_Camisea
CHILCA2TG41-GAS,ChilcaCTM220,76.54709,39.7,6.527853,137.561,2.0223,830.1228,0,500,0,0,0.190300768,Chilca,5,5,6,0,CT-Chilca2,B_Camisea,GN_Camisea
CHILINATG-D2,Socabaya220,11.88143,5.5,0.636423,2531.704,1.9972,2.9889,0,500,0,0,0.063947774,0,2,4,6,0,0,0,D2
STAROSAUTI6-GAS,SantaRosa220,54.97948,32,4.146052,137.561,2.0223,378.6338,0,500,0,0,0.257256198,SantaRosa,6,12,6,0,0,B_Camisea,GN_Camisea
STAROSAUTI5-GAS,SantaRosa220,51.22397,32,4.784142,137.561,2.0223,554.8725,0,500,0,0,0.239968085,SantaRosa,6,12,6,0,0,B_Camisea,GN_Camisea
STAROSAWESTTG7-GASCONH2O,SantaRosa220,119.53739,65,6.380512,137.561,2.0223,2209.3748,0,500,0,0,0.259964535,SantaRosa,23,12,6,0,0,B_Camisea,GN_Camisea
STAROSATG8GAS,SantaRosa220,184.90261,100,11.051364,137.561,2.0223,4573.1831,0,500,0,0,0.21695287,SantaRosa,23,12,6,0,0,B_Camisea,GN_Camisea
OLLEROSCCOMBTG1-GAS,Chilca500,296.31968,211,4.682561,137.561,2.0223,0.0775,0,500,1,0,0.169502633,Chilca,23,4.3333,6,0,CT-Olleros,B_Camisea,GN_Camisea
LFLORESCCOMBTG1-GAS,ChilcaCTM220,321.9982,175,8.2857895,137.561,2.0223,0,0,500,1,0,0.146958995,Chilca,23,23,6,0,CT-Flores,B_Camisea,GN_Camisea
VENT3D2,Ventanilla220,142.44112,75,3.499394,2126.7,2.0223,15020,0,500,0,0,0.048696044,0,23,0,6,0,CT-Venta-Cald3,0,D2
VENT4D2,Ventanilla220,137.82344,75,2.659392,2126.7,2.0223,11256.58,0,500,0,0,0.054735726,0,23,0,6,0,CT-Venta-Cald4,0,D2
FENIXGT12D2,Chilca500,181.42925,51,3.670323,2558.31,1.9972,4.0231,0,500,0,0,0.060398398,0,0,12,6,0,CT-Fenix-Cald12,0,D2
FENIXGT11D2,Chilca500,182.1286,51,3.458614,2558.31,1.9972,4.0231,0,500,0,0,0.061705015,0,0,12,6,0,CT-Fenix-Cald11,0,D2
FENIXCCGT12D2,Chilca500,269.45757,145,1.800734,2558.31,3.345,4.0231,0,500,0,0,0.047718348,0,22,23,6,0,CT-Fenix-Cald12,0,D2
FENIXCCGT11D2,Chilca500,270.48642,145,1.574612,2558.31,3.345,4.0231,0,500,0,0,0.048633676,0,22,23,6,0,CT-Fenix-Cald11,0,D2
